1964-65	87	†	83	4	4.6	146	140	6	6	5	1
1965-66	89	2.3	76	13	14.6	238	221	17	19	19	0
1966-67	222	149.4	198	24	10.8	449	423	26	38	37	1
1967-68	459	106.8	404	55	12.0	548	518	30	36	36	0
1968-69	933	103.3	812	121	13.0	1,012	939	73	64	62	2
1969-70	1,544	65.5	1,345	199	12.9	1,459	1,324	135	107	105	2
1970-71	2,388	54.7	2,064	324	13.6	1,588	1,424	164	128	125	3
1971-72	3,402	42.5	2,941	461	13.6	1,977	1,752	225	167	155	12
1972-73	4,304	26.5	3,664	640	14.9	2,113	1,888	225	196	181	15
1973-74	4,756	10.5	3,976	780	16.4	2,276	1,983	293	198	189	9
1974-75	5,033	5.8	4,080	953	18.9	2,299	1,961	338	213	199	14
1975-76	5,652	12.3	4,534	1,118	19.8	2,603	2,226	377	244	221	23
1976-77	6,407	13.4	4,876	1,531	23.9	2,798	2,332	466	216	197	19
1977-78	7,201	12.4	5,349	1,852	25.7	3,038	2,471	567	196	181	15
1978-79	8,719	21.1	6,272	2,447	28.1	3,055	2,480	575	236	206	30
1979-80	11,154	27.9	7,782	3,372	30.2	3,647	2,883	764	240	213	27
1980-81	15,121	35.6	10,202	4,919	32.5	4,218	3,247	971	252	227	25
1981-82	20,267	34.0	13,218	7,049	34.8	4,935	3,625	1,310	251	230	21
1982-83	24,565	21.2	15,641	8,924	36.3	5,321	3,813	1,508	262	228	34
1983-84	32,439	32.1	20,416	12,023	37.1	6,190	4,379	1,811	251	225	26
1984-85	39,121	20.6	24,737	14,384	36.8	7,101	5,064	2,037	248	223	25
1985-86	42,337	8.2	27,208	15,129	35.7	8,070	5,658	2,412	344	299	45
1986-87	39,767	-6.1	25,962	13,805	34.7	8,481	5,985	2,496	374	322	52
1987-88	34,651	-12.9	23,414	11,237	32.4	9,197	6,726	2,471	428	380	48
1988-89	30,560	-11.8	21,143	9,417	30.8	9,414	6,775	2,639	551	466	85
1989-90	27,347	-10.5	19,159	8,188	29.9	9,677	6,960	2,717	627	534	93
1990-91	25,159	-8.0	17,771	7,388	29.4	9,324	6,563	2,761	676	584	92
1991-92	24,821	-1.3	17,685	7,136	28.7	9,655	6,980	2,675	772	669	103
1992-93	24,519	-1.2	17,606	6,913	28.2	10,353	7,557	2,796	805	689	116
1993-94	24,527	#	17,528	6,999	28.5	10,568	7,836	2,732	810	685	125
1994-95	24,737	0.9	17,684	7,053	28.5	10,595	7,805	2,790	887	726	161
1995-96	24,506	-0.9	17,757	6,749	27.5	10,579	7,729	2,850	869	743	126
1996-97	25,422	3.7	18,527	6,895	27.1	10,513	7,526	2,987	857	721	136
1997-98	27,829	9.5	20,372	7,457	26.8	11,765	8,343	3,422	858	718	140
1998-99	30,552	9.8	22,289	8,263	27.0	12,843	8,866	3,977	806	656	150

1999-2000	37,788	23.7	27,185	10,603	28.1	14,990	9,978	5,012	779	648	131
2000-01	44,142	16.8	31,923	12,219	27.7	16,911	11,195	5,716	768	632	136
2001-02	50,365	14.1	36,462	13,903	27.6	17,173	11,447	5,726	752	581	171
2002-03	57,433	14.0	41,950	15,483	27.0	19,509	13,267	6,242	816	648	168
2003-04	59,488	3.6	44,585	14,903	25.1	20,143	13,868	6,275	909	709	200

2004-05	54,111	-9.0	42,125	11,986	22.2	18,416	13,136	5,280	1,119	905	214
2005-06	47,702	-11.8	37,905	9,797	20.5	17,195	12,579	4,616	1,416	1,109	307
2006-07	42,164	-11.6	34,338	7,826	18.6	16,232	11,985	4,247	1,595	1,267	328
2007-08	38,523	-8.6	31,731	6,792	17.6	17,096	12,516	4,580	1,697	1,322	375
2008-09	37,992	-1.4	31,213	6,779	17.8	17,907	13,063	4,844	1,580	1,226	354

2009-10	39,593	4.2	32,414	7,179	18.1	17,955	13,019	4,936	1,599	1,250	349
2010-11	43,066	8.8	35,477	7,589	17.6	19,516	14,010	5,506	1,588	1,267	321
2011-12	47,406	10.1	38,796	8,610	18.2	20,925	15,132	5,793	1,698	1,332	366
2012-13	50,961	7.5	41,874	9,087	17.8	22,782	16,539	6,243	1,834	1,480	354
2013-14	55,271	8.5	45,320	9,951	18.0	24,514	17,472	7,042	1,982	1,566	416

2014-15	59,586	7.8	48,844	10,742	18.0	31,475	21,893	9,582	1,998	1,548	450
2015-16	64,402	8.1	52,330	12,072	18.7	40,130	27,788	12,342	1,989	1,591	398
2016-17	71,416	10.9	57,763	13,653	19.1	46,553	32,172	14,381	1,982	1,538	444
2017-18	79,597	11.5	63,703	15,894	20.0	46,468	31,397	15,071	2,017	1,580	437
2018-19	88,638	11.4	70,322	18,316	20.7	45,671	30,673	14,998	2,224	1,716	508

2019-20	97,054	9.5	76,337	20,717	21.3	51,527	34,399	17,128	2,415	1,868	547
2020-21	104,874	8.1	81,921	22,953	21.9	54,174	35,888	18,286	2,572	1,922	650
